,1999Dec,2000Mar,2000Jun,2000Sep,2000Dec,2001Mar,2001Jun,2001Sep,2001Dec,2002Mar,2002Jun,2002Sep,2002Dec,2003Mar,2003Jun,2003Sep,2003Dec,2004Mar,2004Jun,2004Sep,2004Dec,2005Mar,2005Jun,2005Sep,2005Dec,2006Mar,2006Jun,2006Sep,2006Dec,2007Mar,2007Jun,2007Sep,2007Dec,2008Mar,2008Jun,2008Sep,2008Dec,2009Mar,2009Jun,2009Sep,2009Dec,2010Mar,2010Jun,2010Sep,2010Dec,2011Mar,2011Jun,2011Sep,2011Dec,2012Mar,2012Jun,2012Sep,2012Dec,2013Mar,2013Jun,2013Sep,2013Dec,2014Mar,2014Jun,2014Sep,2014Dec,2015Mar,2015Jun,2015Sep,2015Dec,2016Mar,2016Jun,2016Sep,2016Dec,2017Mar,2017Jun,2017Sep,2017Dec,2018Mar,2018Jun,2018Sep,2018Dec,2019Mar,2019Jun,2019Sep,2019Dec,2020Mar,2020Jun,2020Sep,2020Dec,2021Mar,2021Jun,2021Sep,2021Dec,2022Mar,2022Jun,2022Sep,2022Dec,2023Mar,2023Jun,2023Sep,2023Dec,2024Mar,2024Jun,2024Sep,2024Dec,2025Mar,2025Jun
1,1.2,1.4,1.5,1.8,1.9,1.9,2,1.9,1.7,1.8,2.3,2.2,1.9,1.6,,1.6,1.8,,,1.5,1.5,1.8,,1.8,,1.7,1.8,,2.1,2.2,,2.3,2,2,,2,2.2,2.2,,2.4,1.3,1.3,1.8,1.2,1.4,1.5,,1.6,,2,,,1,,,1.9,1.9,1.9,,1.5,1.8,1.3,,1,.4,.5,,1.2,.4,,.4,1.4,1.6,1.5,1.5,1.3,1.6,1.6,,1.8,1.8,1.6,,1.2,1.2,2.5,,1.5,1.5,1.5,1.4,,2.5,2.6,,3.5,2,3,3,4.3,2,,
2,1.2,1.2,,1.6,,2,,2.5,2.3,2.3,,2,2,2,2,2,,,1.8,,1.6,2,,1.8,,1.8,,,2,2,,1.8,1.9,1.9,,1.9,2.1,2.1,,,1,,,,1.7,1.7,,1.8,1.9,2.2,,1.8,2.2,2.3,,2.8,2.2,1.8,,1.6,,.9,,.8,.5,.4,,.6,.8,,,,1.4,,1.1,1,1.3,1.4,1.4,1.5,1.2,1.4,,1.4,1.4,.8,,1.3,.8,1.4,,3.4,2.8,5,,,,,,2.8,,2.2,
3,.8,1.1,1.2,1.3,1.8,2,1.9,,1.9,2,1.9,1.6,1.7,1.8,,2,1.7,1.8,,1.8,,2,,,,2,,2,,2.1,,,2,1.9,1.9,2,,,,,1,1,,.9,,1,,1.6,1.8,2.4,,.5,,,2.2,2.2,,,,1.6,,.6,,.75,-.25,.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.3,1.7,,1.7,1.8,1.5,1.8,1.5,1.7,1.7,,1.4,1.7,1.5,1.7,1.7,1.7,1.3,1.5,1.6,1.8,1.8,2.1,2.2,2,2,,1.7,2.1,2.2,2,2,1.9,2.4,2.3,2.1,2,1.9,,1.5,1,.8,,1.2,1.5,1.6,1.4,1.4,2,1.6,1.6,1.5,2,2.1,,1.5,1.5,1.4,1.5,1.4,1.2,1.4,1.4,,1,1.1,1.3,1.4,1.9,1.5,1.4,1.4,1.5,1.6,1.5,1.4,,1.3,1.4,1.6,1.2,1.6,,1.2,1.2,2,.2,.5,.7,1.2,1.6,1.3,1.3,,,5,,2.3,2.3,2.1,2,1.8,
5,1.1,1.4,1.4,1.5,1.6,1.6,1.7,1.9,1.5,1.7,1.9,1.6,,1.7,1.7,,1.8,1.7,,1.8,,,,1.8,1.8,2,1.7,2,2.3,2,2.1,1.8,2,1.8,,2.2,2.4,,2.5,2.5,.8,.9,,1.4,,1.6,1.7,1.6,1.8,2.2,2.2,2,1.6,,,2,,,,1.2,1.1,1,,,.3,1,,,1.1,1,1,,,1.825,,1.65,1.7,,,1.7,1.9,,,1.2,1,1.4,1.4,1.2,1.2,1.7,,1.9,1.4,2.5,4.5,3,2.8,2.3,,2,1.7,1.9,
6,1.1,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.5,2,2.1,1.8,2,1.3,1.4,1.4,1.6,1.3,1.4,1.4,1.1,.6,1.1,1,1,.8,.8,1,1.3,1.6,1.6,1.6,1.6,2,2,2,2,1.7,1.7,1.7,1.1,1.1,.9,1.1,.6,.7,.9,1.2,1.6,1.84,2.6,2.5,3.5,4.3,2.6,2.6,2.1,2.1,2,2.1
7,.8,1.4,1.3,1.4,1.8,2.1,2,1.8,1.7,1.6,1.6,,1.5,1.9,,1.8,1.7,1,,1.4,1.6,1.5,1.3,1.7,1.4,1.4,,1.6,2.1,2.1,,1.6,1.5,2.1,2.2,1.9,2,2.1,2.6,2,.7,1.1,.6,.7,.6,1.5,1.5,1.4,1,1.3,1.5,1.5,.9,1.2,1.3,1.6,1.2,1.4,,,,,1,,,.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2.2,,2.4,2.3,1.8,1.6,1.4,1.1,1.4,1.6,1.6,1.5,1.8,1.9,2.1,2,1.9,1.9,1.7,1.9,2,2.1,1.7,1.7,1.5,1.4,,,,,.9,,1.3,,1,,,,,1.8,,,,,,,,,,.9,.9,,1.7,,1.5,,,1.7,,2.3,3.9,,2.6,,2.2,,1.7,1.8
9,.6,1.2,1.3,1.3,1.8,1.7,2,2,1.9,1.9,,1.8,,2,1.7,,,2,1.7,,1.8,1.8,1.9,2.2,2,1.7,1.7,1.9,,2.1,2.3,2.3,,,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.1,,1.5,,1.6,1.6,1.9,2.4,1.6,1.6,,1.9,,,1.8,1.9,1.65713259,,1.57856433,1.59467053,,1.68009252,,2.03550593,1.66313249,,,,1.73911746,2.1,2.02,2.2,2.1,2.2,2,2.1,,1.9,2.3,2.2,1.7,.8,,1.6,1.3,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.3,,1.4,,,,1.4,,1.1,,1.1,.8,.9,,,1.2,,,,,,1.6,,,,,,,,,
11,1.5,1.5,1.2,1.1,1.4,,1.6,2,1.7,1.9,1.7,1,1.2,1.4,1.6,1.7,1.6,1.3,1.3,1.7,1.5,1.7,1.4,,,1.6,1.7,1.3,1.4,1.8,1.9,1.9,1.9,1.8,1.9,1.9,,,,,1.125,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.3,1.3,1.3,1.5,1.1,1.6,1.7,,1.5,1.2,1.4,,1.5,1.7,1.5,1.5,1.5,1.3,1.1,1.5,1.5,1.4,1.6,1.8,1.6,1.8,1.5,1.6,1.9,2.5,,,,,,,1.9,2,3.2,1.9,1,.4,1.6,1,.7,1.1,1.2,1.8,1.7,,2.4,1.8,2.1,2.1,2,2,,,1.9,1.7,1.4,1.4,1.2,1,.7,,.7,1.2,.2,,,.6,1,1.5,1.1,2.3,1.7,1.7,1.7,,2.5,1.9,.7,1.5,1.1,2,.7,.8,.1,.4,1.5,2.5,4,,5.8,7.4,9.2,7.1,5,3.3,1.9,2,1.9
15,,,,,1.9,2.1,2,2,2,1.8,2,1.9,1.75,1.7,1.6,1.7,1.7,,1.4,1.5,1.5,1.7,1.8,1.8,1.8,1.8,,1.8,1.8,2,1.8,1.8,1.8,1.8,1.8,1.9,1.75,2.2,2.4,2.3,1.5,1.2,1.5,1.5,1.4,1.6,1.6,1.6,1.8,2,2,1.8,1.8,1.7,1.8,1.9,1.8,1.8,1.5,1.5,1.3,1.4,1.3,1.3,.9,.7,1.2,1.3,1.4,1.4,1.4,1.3,1.5,1.625,1.625,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.6,1.9,1.5,1.4,1.3,.9,,1.7,1.5,,,,1.9,1.8,,1.6,1.7,1.8,1.5,1.6,1.9,1.8,1.6,1.6,1.8,1.8,1.8,1.7,2.1,1.9,1.9,1.8,1.9,1.9,2.4,2.1,2.2,2.5,2.9,1.7,1.8,1,1.3,1.2,1.3,1.8,1.7,2,2,2.4,2.1,1.8,1.8,2.1,1.6,1.9,1.9,1.1,1.2,1.3,1.2,1.1,.8,.6,.5,.5,.7,.7,1,.8,1.1,1,1.5,1.2,1.5,1.6,1.7,1.8,1.5,1.8,1.5,1.4,1.4,1,1.3,.5,1.9,.7,.7,1.9,2,1.8,1.8,3.9,2.7,3.3,3.8,1.5,,2.1,2.3,1.9,2.3
17,1.5,1.5,,,,1.9,1.6,1.7,1.2,2.4,,1.8,1.5,1.6,1.6,1.7,1.7,1.5,.6,.8,1,1.4,2,1.8,1.7,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,1.5,,1.6,,,,,,,,,,,,,2,,,1.5,,,2.2,,1.75,2,,2,2,,1.9,,,,,,0,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
