"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59"
"1",0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667,0.01476666667
"2",0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333,0.01453333333
"3",0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333,0.01673333333
"4",0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188
"5",0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161
"6",0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333,0.02223333333
"7",0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185
"8",0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164
"9",0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333,0.01963333333
"10",0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333,0.01643333333
"11",0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164
